level,score,name,time,A0,A1,A2,A3,A4,A5,AlmostDeath,CoinPerSec,KillPerSec,ShotPerSec,MissPerSec
2,48,Bally,15,406.5,252.5,4,8,8,0,FALSE,26.6667,53.3333,53.3333,0
2,82,Bally,20,466,361,7,11,11,0,FALSE,35,55,55,0
2,92,Bally,25,322.5,249,7,19,19,0,FALSE,28,76,76,0
3,133,Bally,30,53,137,11,20,20,0,FALSE,36.6667,66.6667,66.6667,0
3,146,Bally,35,245,536,12,21,21,0,FALSE,34.2857,60,60,0
3,172,Bally,40,682.5,126.5,14,24,24,0,FALSE,35,60,60,0
4,196,Bally,45,469,536,16,26,26,0,FALSE,35.5556,57.7778,57.7778,0
4,219,Bally,50,290.5,501,17,31,32,1,FALSE,34,62,64,2
4,254,Bally,55,633.5,214,19,36,37,1,FALSE,34.5455,65.4545,67.2727,1.8182
5,287,Bally,60,294,511.5,20,43,44,1,TRUE,33.3333,71.6667,73.3333,1.6667
1,13,Bally2,5,536,199,1,3,3,0,FALSE,20,60,60,0
1,45,Bally2,10,193,136,4,5,5,0,FALSE,40,50,50,0
2,80,Bally2,15,217.5,199,7,10,10,0,FALSE,46.6667,66.6667,66.6667,0
2,100,Bally2,20,522,293.5,8,16,16,0,FALSE,40,80,80,0
2,125,Bally2,25,263,325,10,19,19,0,FALSE,40,76,76,0
3,144,Bally2,30,459,273.5,11,25,25,0,FALSE,36.6667,83.3333,83.3333,0
3,174,Bally2,35,368,399.5,13,29,30,0,FALSE,37.1429,82.8571,85.7143,0
3,197,Bally2,40,315.5,319,14,36,36,0,FALSE,35,90,90,0
4,224,Bally2,45,161.5,161.5,16,41,41,0,FALSE,35.5556,91.1111,91.1111,0
4,258,Bally2,50,238,329.5,18,45,45,0,FALSE,36,90,90,0
4,294,Bally2,55,143.5,361,20,51,51,0,FALSE,36.3636,92.7273,92.7273,0
5,316,Bally2,60,91,256,22,52,52,0,FALSE,36.6667,86.6667,86.6667,0
5,349,Bally2,65,91,420.5,23,58,59,1,FALSE,35.3846,89.2308,90.7692,1.5385
5,401,Bally2,70,248.5,536,25,65,67,1,TRUE,35.7143,92.8571,95.7143,1.4286
1,11,Bally2,5,406.5,279.5,1,1,1,0,FALSE,20,20,20,0
1,25,Bally2,10,361,216.5,2,5,5,0,FALSE,20,50,50,0
2,68,Bally2,15,469.5,234,6,8,8,0,FALSE,40,53.3333,53.3333,0
2,84,Bally2,20,340.5,248,7,12,12,0,FALSE,35,60,60,0
2,120,Bally2,25,487.5,230.5,10,16,16,0,FALSE,40,64,64,0
3,131,Bally2,30,288,171,11,17,17,0,FALSE,36.6667,56.6667,56.6667,0
3,166,Bally2,35,477,304,14,19,20,0,FALSE,40,54.2857,57.1429,0
3,200,Bally2,40,603,283,16,24,25,1,FALSE,40,60,62.5,2.5
4,223,Bally2,45,400,272.5,17,30,31,1,FALSE,37.7778,66.6667,68.8889,2.2222
4,266,Bally2,50,53.5,406.5,19,36,38,1,FALSE,38,72,76,2
4,285,Bally2,55,284.5,392.5,20,40,42,2,FALSE,36.3636,72.7273,76.3636,3.6364
5,322,Bally2,60,477,532.5,22,46,51,4,FALSE,36.6667,76.6667,85,6.6667
5,352,Bally2,65,659,256,24,51,55,4,TRUE,36.9231,78.4615,84.6154,6.1538
1,13,Bally2,5,539.5,125.5,1,3,3,0,FALSE,20,60,60,0
1,37,Bally2,10,466,101,3,7,7,0,FALSE,30,70,70,0
2,50,Bally2,15,532.5,178,4,10,10,0,FALSE,26.6667,66.6667,66.6667,0
2,84,Bally2,20,361,153.5,7,13,13,0,FALSE,35,65,65,0
2,110,Bally2,25,473,195.5,9,16,18,1,FALSE,36,64,72,4
3,145,Bally2,30,487,262,12,19,20,1,FALSE,40,63.3333,66.6667,3.3333
3,175,Bally2,35,336.5,451,14,24,26,1,FALSE,40,68.5714,74.2857,2.8571
3,208,Bally2,40,585.5,332,16,30,33,2,FALSE,40,75,82.5,5
4,234,Bally2,45,645,258.5,17,38,40,2,FALSE,37.7778,84.4444,88.8889,4.4444
4,262,Bally2,50,148,178,19,42,44,2,FALSE,38,84,88,4
4,291,Bally2,55,351,237.5,21,46,48,2,FALSE,38.1818,83.6364,87.2727,3.6364
5,303,Bally2,60,113,272.5,22,48,50,2,TRUE,36.6667,80,83.3333,3.3333
1,12,Bally2,5,347,248,1,2,2,0,FALSE,20,40,40,0
1,37,Bally2,10,294.5,178,3,7,7,0,FALSE,30,70,70,0
2,80,Bally2,15,616.5,160.5,7,10,10,0,FALSE,46.6667,66.6667,66.6667,0
2,93,Bally2,20,448.5,395,8,13,13,0,FALSE,40,65,65,0
2,119,Bally2,25,466,339,10,17,18,0,FALSE,40,68,72,0
3,156,Bally2,30,630.5,321.5,13,22,22,0,FALSE,43.3333,73.3333,73.3333,0
3,181,Bally2,35,109,377.5,14,29,29,0,FALSE,40,82.8571,82.8571,0
3,213,Bally2,40,231.5,444,16,34,34,0,FALSE,40,85,85,0
4,226,Bally2,45,88,493,17,35,35,0,TRUE,37.7778,77.7778,77.7778,0
1,10,Bally2,5,172,192,1,0,0,0,FALSE,20,0,0,0
1,33,Bally2,10,623.5,426.5,3,3,3,0,FALSE,30,30,30,0
2,55,Bally2,15,336.5,132.5,5,5,5,0,FALSE,33.3333,33.3333,33.3333,0
2,73,Bally2,20,189.5,258.5,6,9,9,0,FALSE,30,45,45,0
2,106,Bally2,25,403,272.5,9,11,12,1,FALSE,36,44,48,4
3,140,Bally2,30,119.5,237.5,12,13,14,1,FALSE,40,43.3333,46.6667,3.3333
3,175,Bally2,35,567.5,223.5,14,19,20,1,FALSE,40,54.2857,57.1429,2.8571
3,185,Bally2,40,326,395,14,25,27,2,FALSE,35,62.5,67.5,5
4,223,Bally2,45,518.5,375,16,31,34,3,FALSE,35.5556,68.8889,75.5556,6.6667
4,252,Bally2,50,192.5,536,18,35,39,3,FALSE,36,70,78,6
4,269,Bally2,55,112,438,19,37,43,6,FALSE,34.5455,67.2727,78.1818,10.9091
5,287,Bally2,60,192.5,445,19,42,48,6,FALSE,31.6667,70,80,10
5,324,Bally2,65,273,315.5,22,44,50,6,FALSE,33.8462,67.6923,76.9231,9.2308
5,340,Bally2,70,444.5,389,22,48,54,6,TRUE,31.4286,68.5714,77.1429,8.5714
1,11,Bally2,5,277,150,1,1,1,0,FALSE,20,20,20,0
1,35,Bally2,10,473,129,3,5,6,0,FALSE,30,50,60,0
2,49,Bally2,15,245.5,136,4,9,9,0,FALSE,26.6667,60,60,0
2,74,Bally2,20,420.5,332,6,12,13,1,FALSE,30,60,65,5
2,90,Bally2,25,298,409,7,16,17,1,FALSE,28,64,68,4
3,136,Bally2,30,504.5,129,11,19,20,1,FALSE,36.6667,63.3333,66.6667,3.3333
3,170,Bally2,35,319,237.5,13,25,26,1,FALSE,37.1429,71.4286,74.2857,2.8571
3,206,Bally2,40,392.5,167.5,15,33,34,1,FALSE,37.5,82.5,85,2.5
4,215,Bally2,45,46,335.5,15,38,42,4,FALSE,33.3333,84.4444,93.3333,8.8889
4,260,Bally2,50,207,216.5,18,42,46,4,FALSE,36,84,92,8
4,270,Bally2,55,630.5,416,18,46,50,4,TRUE,32.7273,83.6364,90.9091,7.2727
1,4,Bally2,5,350.5,230.5,0,4,4,0,FALSE,0,80,80,0
1,37,Bally2,10,609.5,307.5,3,7,7,0,FALSE,30,70,70,0
2,70,Bally2,15,336.5,230.5,6,10,10,0,FALSE,40,66.6667,66.6667,0
2,91,Bally2,20,333,269,7,17,18,0,FALSE,35,85,90,0
2,138,Bally2,25,473,230.5,11,22,23,1,FALSE,44,88,92,4
3,168,Bally2,30,200,360,13,28,31,3,FALSE,43.3333,93.3333,103.3333,10
3,198,Bally2,35,28.5,41.5,15,33,36,3,FALSE,42.8571,94.2857,102.8571,8.5714
3,228,Bally2,40,690,510.5,17,37,40,3,TRUE,42.5,92.5,100,7.5
1,0,Bally2,5,329.5,262,0,0,0,0,FALSE,0,0,0,0
1,12,Bally2,10,333,206,1,2,2,0,FALSE,10,20,20,0
1,46,Bally2,15,455.5,213,4,6,7,1,FALSE,26.6667,40,46.6667,6.6667
2,52,Bally2,20,238.5,311,4,11,12,1,FALSE,20,55,60,5
2,81,Bally2,25,273.5,314.5,6,17,18,1,FALSE,24,68,72,4
2,121,Bally2,30,133.5,178,9,22,23,1,FALSE,30,73.3333,76.6667,3.3333
3,152,Bally2,35,536,353,11,28,30,1,FALSE,31.4286,80,85.7143,2.8571
3,178,Bally2,40,336.5,475.5,12,36,38,2,FALSE,30,90,95,5
3,208,Bally2,45,179,328.5,14,40,43,2,FALSE,31.1111,88.8889,95.5556,4.4444
4,245,Bally2,50,249,185,17,43,46,3,TRUE,34,86,92,6
1,0,Bally2,5,424,255,0,0,0,0,FALSE,0,0,0,0
1,14,Bally2,10,263,318,1,4,4,0,FALSE,10,40,40,0
1,48,Bally2,15,546.5,80,4,8,8,0,TRUE,26.6667,53.3333,53.3333,0
1,0,Bally2,5,452,157,0,0,0,0,FALSE,0,0,0,0
1,24,Bally2,10,473,132.5,2,4,4,0,FALSE,20,40,40,0
1,48,Bally2,15,424,146.5,4,8,8,0,FALSE,26.6667,53.3333,53.3333,0
2,74,Bally2,20,228,276,6,13,13,0,FALSE,30,65,65,0
2,111,Bally2,25,473,269,9,18,19,0,FALSE,36,72,76,0
2,140,Bally2,30,266.5,360,11,24,24,0,FALSE,36.6667,80,80,0
3,175,Bally2,35,410,339,14,27,28,1,FALSE,40,77.1429,80,2.8571
3,191,Bally2,40,186,454.5,15,29,30,1,FALSE,37.5,72.5,75,2.5
3,232,Bally2,45,672.5,143,18,33,35,2,FALSE,40,73.3333,77.7778,4.4444
4,253,Bally2,50,536,423,18,40,42,2,FALSE,36,80,84,4
4,267,Bally2,55,91.5,286.5,19,42,44,2,FALSE,34.5455,76.3636,80,3.6364
4,296,Bally2,60,315.5,391.5,21,46,48,2,FALSE,35,76.6667,80,3.3333
5,343,Bally2,65,434.5,458,23,53,56,2,TRUE,35.3846,81.5385,86.1538,3.0769
1,0,Bally2,5,434.5,349.5,0,0,0,0,FALSE,0,0,0,0
1,12,Bally2,10,294.5,248,1,2,2,0,FALSE,10,20,20,0
1,36,Bally2,15,326,164,3,6,7,1,FALSE,20,40,46.6667,6.6667
2,48,Bally2,20,217.5,300.5,4,8,9,1,FALSE,20,40,45,5
2,85,Bally2,25,130,146.5,7,12,13,1,FALSE,28,48,52,4
2,103,Bally2,30,476.5,167.5,8,16,17,1,FALSE,26.6667,53.3333,56.6667,3.3333
3,131,Bally2,35,336.5,536,10,20,22,1,FALSE,28.5714,57.1429,62.8571,2.8571
3,177,Bally2,40,186,413.5,13,28,29,1,FALSE,32.5,70,72.5,2.5
3,206,Bally2,45,298,287.5,14,35,36,1,FALSE,31.1111,77.7778,80,2.2222
4,229,Bally2,50,532.5,441.5,16,36,37,1,FALSE,32,72,74,2
4,244,Bally2,55,231.5,284,17,39,40,1,TRUE,30.9091,70.9091,72.7273,1.8182
1,0,Bally2,5,483.5,227,0,0,0,0,FALSE,0,0,0,0
1,33,Bally2,10,364.5,48.5,3,3,3,0,FALSE,30,30,30,0
1,66,Bally2,15,238.5,132.5,6,6,6,0,FALSE,40,40,40,0
2,84,Bally2,20,357.5,178,7,12,12,0,FALSE,35,60,60,0
2,125,Bally2,25,371.5,223.5,10,19,20,1,FALSE,40,76,80,4
2,151,Bally2,30,578,174.5,12,23,24,1,FALSE,40,76.6667,80,3.3333
3,167,Bally2,35,351,440.5,13,27,29,1,FALSE,37.1429,77.1429,82.8571,2.8571
3,204,Bally2,40,144.5,300.5,15,36,37,1,FALSE,37.5,90,92.5,2.5
3,233,Bally2,45,99,489.5,17,40,41,1,TRUE,37.7778,88.8889,91.1111,2.2222
1,0,Bally2,5,301.5,384.5,0,0,0,0,FALSE,0,0,0,0
1,3,Bally2,10,319,150,0,3,3,0,FALSE,0,30,30,0
1,26,Bally2,15,553,213,2,6,6,0,FALSE,13.3333,40,40,0
2,59,Bally2,20,238,395,5,9,9,0,TRUE,25,45,45,0
1,0,Bally2,5,133.5,139.5,0,0,0,0,FALSE,0,0,0,0
1,13,Bally2,10,207,269,1,3,3,0,FALSE,10,30,30,0
1,55,Bally2,15,189,55.5,5,5,5,0,TRUE,33.3333,33.3333,33.3333,0
1,1,Bally2,5,473,94,0,1,1,0,FALSE,0,20,20,0
1,33,Bally2,10,406.5,244.5,3,3,3,0,FALSE,30,30,30,0
1,63,Bally2,15,60,83.5,6,3,3,0,FALSE,40,20,20,0
2,89,Bally2,20,375,195.5,8,7,7,0,FALSE,40,35,35,0
2,116,Bally2,25,256,286.5,10,11,11,0,FALSE,40,44,44,0
2,154,Bally2,30,179,104.5,13,16,16,0,FALSE,43.3333,53.3333,53.3333,0
3,179,Bally2,35,494,360,15,18,18,0,FALSE,42.8571,51.4286,51.4286,0
3,202,Bally2,40,389,402,16,23,23,0,FALSE,40,57.5,57.5,0
3,226,Bally2,45,336.5,220,18,25,26,0,FALSE,40,55.5556,57.7778,0
4,258,Bally2,50,700.5,311,20,29,30,1,FALSE,40,58,60,2
4,274,Bally2,55,470,286.5,21,31,32,1,FALSE,38.1818,56.3636,58.1818,1.8182
4,294,Bally2,60,295,220,23,31,32,1,FALSE,38.3333,51.6667,53.3333,1.6667
5,317,Bally2,65,295,325,24,36,37,1,FALSE,36.9231,55.3846,56.9231,1.5385
5,347,Bally2,70,281,409,25,41,42,1,FALSE,35.7143,58.5714,60,1.4286
5,377,Bally2,75,295,419.5,27,44,45,1,FALSE,36,58.6667,60,1.3333
6,397,Bally2,80,358,448.5,27,48,49,1,FALSE,33.75,60,61.25,1.25
6,424,Bally2,85,641.5,469.5,28,52,54,1,FALSE,32.9412,61.1765,63.5294,1.1765
6,463,Bally2,90,431.5,336.5,30,58,59,1,TRUE,33.3333,64.4444,65.5556,1.1111
1,1,BallyKiller,5,420.5,244.5,0,1,1,0,FALSE,0,20,20,0
1,33,BallyKiller,10,301.5,293.5,3,3,3,0,FALSE,30,30,30,0
2,76,BallyKiller,15,378.5,230.5,7,6,6,0,FALSE,46.6667,40,40,0
2,95,BallyKiller,20,588.5,412.5,8,11,11,0,FALSE,40,55,55,0
2,104,BallyKiller,25,420.5,353,8,16,17,1,FALSE,32,64,68,4
3,115,BallyKiller,30,585.5,451,8,23,24,1,FALSE,26.6667,76.6667,80,3.3333
3,128,BallyKiller,35,396.5,482.5,8,29,31,1,FALSE,22.8571,82.8571,88.5714,2.8571
3,139,BallyKiller,40,557.5,461.5,8,35,38,3,FALSE,20,87.5,95,7.5
4,154,BallyKiller,45,477,395,8,41,44,3,FALSE,17.7778,91.1111,97.7778,6.6667
4,182,BallyKiller,50,242.5,511.5,8,51,54,3,FALSE,16,102,108,6
4,200,BallyKiller,55,424.5,536,8,57,62,3,FALSE,14.5455,103.6364,112.7273,5.4545
5,228,BallyKiller,60,326.5,536,8,66,71,4,FALSE,13.3333,110,118.3333,6.6667
5,248,BallyKiller,65,151.5,536,8,73,79,5,FALSE,12.3077,112.3077,121.5385,7.6923
5,278,BallyKiller,70,274,536,9,78,84,6,TRUE,12.8571,111.4286,120,8.5714
1,0,BallyKiller,5,364.5,493,0,0,0,0,FALSE,0,0,0,0
1,4,BallyKiller,10,522,251.5,0,4,4,0,FALSE,0,40,40,0
1,37,BallyKiller,15,88,536,3,7,7,0,FALSE,20,46.6667,46.6667,0
2,52,BallyKiller,20,476.5,277,4,11,12,1,FALSE,20,55,60,5
2,64,BallyKiller,25,357.5,406.5,4,18,20,2,FALSE,16,72,80,8
2,91,BallyKiller,30,231.5,263,6,23,25,2,FALSE,20,76.6667,83.3333,6.6667
3,114,BallyKiller,35,494,354,7,30,33,2,FALSE,20,85.7143,94.2857,5.7143
3,134,BallyKiller,40,522,536,7,40,43,2,FALSE,17.5,100,107.5,5
3,153,BallyKiller,45,448.5,497.5,8,45,48,3,FALSE,17.7778,100,106.6667,6.6667
4,178,BallyKiller,50,427.5,529,8,55,58,3,FALSE,16,110,116,6
4,205,BallyKiller,55,287.5,469.5,9,62,66,4,FALSE,16.3636,112.7273,120,7.2727
4,227,BallyKiller,60,399.5,448.5,10,66,70,4,TRUE,16.6667,110,116.6667,6.6667
1,0,BallyKiller,5,287.5,286.5,0,0,0,0,FALSE,0,0,0,0
1,13,BallyKiller,10,326,129,1,3,3,0,FALSE,10,30,30,0
1,37,BallyKiller,15,389,171,3,7,7,0,FALSE,20,46.6667,46.6667,0
2,61,BallyKiller,20,729,209.5,5,11,12,0,FALSE,25,55,60,0
2,85,BallyKiller,25,344,297,7,14,16,2,FALSE,28,56,64,8
2,113,BallyKiller,30,162,195.5,9,20,22,2,FALSE,30,66.6667,73.3333,6.6667
3,134,BallyKiller,35,438.5,510.5,10,25,27,2,FALSE,28.5714,71.4286,77.1429,5.7143
3,163,BallyKiller,40,351,445,12,30,32,2,FALSE,30,75,80,5
3,188,BallyKiller,45,333.5,277,13,38,40,2,TRUE,28.8889,84.4444,88.8889,4.4444
1,1,BallyKiller,5,438,178,0,1,1,0,FALSE,0,20,20,0
1,34,BallyKiller,10,161.5,153.5,3,4,4,0,FALSE,30,40,40,0
1,49,BallyKiller,15,445,157,4,9,9,0,TRUE,26.6667,60,60,0
1,3,BallyKiller,5,312,153.5,0,3,3,0,FALSE,0,60,60,0
1,35,BallyKiller,10,588.5,45,3,5,5,0,FALSE,30,50,50,0
2,68,BallyKiller,15,287.5,111.5,6,8,8,0,FALSE,40,53.3333,53.3333,0
2,88,BallyKiller,20,399.5,419.5,7,13,14,0,FALSE,35,65,70,0
2,112,BallyKiller,25,343.5,216.5,9,15,16,1,FALSE,36,60,64,4
3,140,BallyKiller,30,494,220,11,20,21,1,FALSE,36.6667,66.6667,70,3.3333
3,171,BallyKiller,35,109,293.5,13,25,26,1,FALSE,37.1429,71.4286,74.2857,2.8571
3,201,BallyKiller,40,147.5,237.5,15,29,30,1,FALSE,37.5,72.5,75,2.5
4,229,BallyKiller,45,329.5,381,16,37,38,1,TRUE,35.5556,82.2222,84.4444,2.2222
1,0,BallyKiller,5,263,220,0,0,0,0,FALSE,0,0,0,0
1,32,BallyKiller,10,396,234,3,2,2,0,FALSE,30,20,20,0
1,56,BallyKiller,15,708,45,5,6,6,0,FALSE,33.3333,40,40,0
2,71,BallyKiller,20,533,101,6,10,10,0,FALSE,30,50,50,0
2,97,BallyKiller,25,484,216.5,8,13,13,0,FALSE,32,52,52,0
2,117,BallyKiller,30,295,111.5,9,19,19,0,FALSE,30,63.3333,63.3333,0
3,154,BallyKiller,35,697.5,181.5,12,22,22,0,FALSE,34.2857,62.8571,62.8571,0
3,177,BallyKiller,40,543.5,290,13,28,29,0,FALSE,32.5,70,72.5,0
3,208,BallyKiller,45,358,286.5,15,33,33,0,FALSE,33.3333,73.3333,73.3333,0
4,222,BallyKiller,50,463,536,15,39,41,1,FALSE,30,78,82,2
4,245,BallyKiller,55,456,462.5,15,48,49,1,FALSE,27.2727,87.2727,89.0909,1.8182
4,288,BallyKiller,60,344,536,16,60,62,2,FALSE,26.6667,100,103.3333,3.3333
5,316,BallyKiller,65,375.5,536,16,67,71,3,FALSE,24.6154,103.0769,109.2308,4.6154
5,348,BallyKiller,70,487.5,536,16,77,82,4,FALSE,22.8571,110,117.1429,5.7143
5,372,BallyKiller,75,344,536,16,85,90,5,FALSE,21.3333,113.3333,120,6.6667
6,416,BallyKiller,80,393,536,17,94,99,5,FALSE,21.25,117.5,123.75,6.25
6,436,BallyKiller,85,466.5,536,18,97,103,6,FALSE,21.1765,114.1176,121.1765,7.0588
6,479,BallyKiller,90,256.5,536,18,108,115,6,TRUE,20,120,127.7778,6.6667
1,0,putt,5,256,297,0,0,0,0,FALSE,0,0,0,0
1,32,putt,10,459,283,3,2,2,0,FALSE,30,20,20,0
2,55,putt,15,165,251.5,5,5,5,0,FALSE,33.3333,33.3333,33.3333,0
2,69,putt,20,158,335.5,6,7,7,0,FALSE,30,35,35,0
2,82,putt,25,490.5,276,7,9,9,0,FALSE,28,36,36,0
3,95,putt,30,382,258.5,8,11,11,0,FALSE,26.6667,36.6667,36.6667,0
3,124,putt,35,501,237.5,10,15,15,0,FALSE,28.5714,42.8571,42.8571,0
3,140,putt,40,326,454.5,11,17,17,0,FALSE,27.5,42.5,42.5,0
4,150,putt,45,427.5,349.5,12,17,19,1,TRUE,26.6667,37.7778,42.2222,2.2222
1,2,putt,5,343.5,328.5,0,2,2,0,FALSE,0,40,40,0
1,23,putt,10,266.5,391.5,2,3,3,0,FALSE,20,30,30,0
2,54,putt,15,518.5,209.5,5,4,4,0,FALSE,33.3333,26.6667,26.6667,0
2,82,putt,20,172,367,7,9,9,0,TRUE,35,45,45,0
1,10,putt,5,529,157,1,0,1,1,FALSE,20,0,20,20
1,35,putt,10,623.5,178,3,5,6,1,FALSE,30,50,60,10
2,47,putt,15,410,332,4,7,8,1,FALSE,26.6667,46.6667,53.3333,6.6667
2,75,putt,20,571,318,6,12,14,2,FALSE,30,60,70,10
2,109,putt,25,529,325,9,15,18,2,FALSE,36,60,72,8
3,123,putt,30,378.5,391.5,9,22,28,4,FALSE,30,73.3333,93.3333,13.3333
3,165,putt,35,193,339,12,27,34,6,FALSE,34.2857,77.1429,97.1429,17.1429
3,174,putt,40,469.5,454.5,12,32,40,7,FALSE,30,80,100,17.5
4,200,putt,45,361,262,14,36,44,8,FALSE,31.1111,80,97.7778,17.7778
4,223,putt,50,42.5,451,15,41,52,10,FALSE,30,82,104,20
4,258,putt,55,263,234,17,46,58,11,FALSE,30.9091,83.6364,105.4545,20
5,280,putt,60,448.5,412.5,18,50,63,13,FALSE,30,83.3333,105,21.6667
5,301,putt,65,63.5,328.5,18,57,72,13,FALSE,27.6923,87.6923,110.7692,20
5,318,putt,70,182.5,482.5,19,59,78,17,FALSE,27.1429,84.2857,111.4286,24.2857
6,351,putt,75,256,536,19,66,85,19,FALSE,25.3333,88,113.3333,25.3333
6,373,putt,80,84.5,536,19,72,93,20,FALSE,23.75,90,116.25,25
6,379,putt,85,126,445,19,74,97,23,TRUE,22.3529,87.0588,114.1176,27.0588
1,0,putt,5,385.5,440.5,0,0,1,1,FALSE,0,0,20,20
1,11,putt,10,564,234,1,1,2,1,FALSE,10,10,20,10
1,14,putt,15,77.5,265.5,1,4,5,1,FALSE,6.6667,26.6667,33.3333,6.6667
1,44,putt,20,214,251.5,4,4,5,1,FALSE,20,20,25,5
1,45,putt,25,504.5,286.5,4,5,9,3,FALSE,16,20,36,12
2,56,putt,30,350.5,244.5,5,6,11,5,FALSE,16.6667,20,36.6667,16.6667
2,70,putt,35,231.5,426.5,6,8,15,6,FALSE,17.1429,22.8571,42.8571,17.1429
2,97,putt,40,424,335.5,8,13,20,7,FALSE,20,32.5,50,17.5
3,117,putt,45,98.5,248,9,19,26,7,FALSE,20,42.2222,57.7778,15.5556
3,134,putt,50,357.5,510.5,10,23,32,8,FALSE,20,46,64,16
3,158,putt,55,326,468.5,11,29,37,8,FALSE,20,52.7273,67.2727,14.5455
4,202,putt,60,382,468.5,13,38,48,9,FALSE,21.6667,63.3333,80,15
4,229,putt,65,361,521,14,45,55,9,FALSE,21.5385,69.2308,84.6154,13.8462
4,230,putt,70,70.5,438,14,46,59,12,FALSE,20,65.7143,84.2857,17.1429
5,243,putt,75,322.5,525.5,14,49,63,13,TRUE,18.6667,65.3333,84,17.3333
1,2,putt,5,459,283,0,2,5,3,FALSE,0,40,100,60
1,17,putt,10,599,377.5,1,7,10,3,FALSE,10,70,100,30
2,18,putt,15,336.5,487,1,8,11,3,FALSE,6.6667,53.3333,73.3333,20
2,28,putt,20,571,536,2,8,11,3,FALSE,10,40,55,15
2,42,putt,25,504.5,354,3,11,15,3,FALSE,12,44,60,12
3,58,putt,30,172,522,4,15,21,5,FALSE,13.3333,50,70,16.6667
3,60,putt,35,277,410,4,17,24,7,FALSE,11.4286,48.5714,68.5714,20
3,101,putt,40,95,357.5,7,23,32,9,FALSE,17.5,57.5,80,22.5
4,113,putt,45,291,438,7,28,38,10,FALSE,15.5556,62.2222,84.4444,22.2222
4,131,putt,50,231.5,494,8,31,43,11,TRUE,16,62,86,22
1,0,putt,5,364.5,479,0,0,1,1,FALSE,0,0,20,20
